current_candidate_name,current_district,current_constituency_id,election_year,prev_candidate_name,prev_district,prev_constituency_id,prev_votes,prev_result,is_actual_match
अजय कुमार यादव,महोत्तरी,4,2079,अजय कुमार यादव,पर्सा,4,941,,
अजय कुमार यादव,धनुषा,3,2079,अजय कुमार यादव,पर्सा,4,941,,
अजय कुमार यादव,महोत्तरी,4,2079,अजय कुमार यादव,धनुषा,3,70,,
अजय कुमार यादव,धनुषा,3,2079,अजय कुमार यादव,धनुषा,3,70,,TRUE
अरुण कुमार साह,सप्तरी,3,2079,अरुण कुमार साह,रौतहट,2,57,,
अरुण कुमार साह,सप्तरी,3,2079,अरुण कुमार साह,धनुषा,4,33,,
ओम प्रकाश यादव,रूपन्देही,5,2079,ओम प्रकाश यादव,रुपन्देही,4,2623,,
ओम प्रकाश यादव,रूपन्देही,5,2079,ओम प्रकाश यादव,महोत्तरी,3,107,,
कर्ण  बहादुर  थापा,गुल्मी,2,2079,कर्ण बहादुर थापा,बाजुरा,1,26349,,
कर्ण  बहादुर  थापा,गुल्मी,2,2079,कर्ण बहादुर थापा,सुर्खेत,1,350,,
कुमार तामाङ्ग,दोलखा,1,2079,कुमार तामाङ्ग,दोलखा,1,269,,TRUE
कुमार तामाङ्ग,दोलखा,1,2079,कुमार तामाङ्ग,ओखलढुंगा,1,88,,
गोपाल नेपाली,दोलखा,1,2079,गोपाल नेपाली,दैलेख,1,210,,
गोपाल नेपाली,दोलखा,1,2079,गोपाल नेपाली,दोलखा,1,122,,TRUE
तिलक बहादुर मगर,काठमाडौं,2,2079,तिलक बहादुर मगर,इलाम,2,45,,
तिलक बहादुर मगर,काठमाडौं,2,2079,तिलक बहादुर मगर,मोरङ्ग,1,21,,
दामोदर भण्डारी,दाङ,3,2079,दामोदर भण्डारी,बैतडी,1,33611,Elected,
दामोदर भण्डारी,बैतडी,1,2079,दामोदर भण्डारी,बैतडी,1,33611,Elected,TRUE
दामोदर भण्डारी,दाङ,3,2079,दामोदर भण्डारी,गुल्मी,1,1882,,
दामोदर भण्डारी,बैतडी,1,2079,दामोदर भण्डारी,गुल्मी,1,1882,,
दिनेश कुमार यादव,रौतहट,1,2079,दिनेश कुमार यादव,सप्तरी,3,26166,Elected,
दिनेश कुमार यादव,सप्तरी,3,2079,दिनेश कुमार यादव,सप्तरी,3,26166,Elected,TRUE
दिनेश कुमार यादव,सप्तरी,3,2079,दिनेश  कुमार  यादव ,सिराहा,3,11146,,
दिनेश कुमार यादव,रौतहट,1,2079,दिनेश  कुमार  यादव ,सिराहा,3,11146,,
दिपक बहादुर सिंह,मकवानपुर,1,2079,दिपक बहादुर सिंह,मकवानपुर,1,27851,Elected,TRUE
दिपक बहादुर सिंह,मकवानपुर,1,2079,दिपक बहादुर सिंह,कन्चनपुर,3,1145,,
देव राज घिमिरे,झापा,2,2079,देव राज घिमिरे,झापा,2,28716,Elected,TRUE
देव राज घिमिरे,झापा,2,2079,देव राज घिमिरे,नुवाकोट,1,149,,
धन बहादुर बुढा,डोल्पा,1,2079,धन बहादुर बुढा,डोल्पा,1,11292,Elected,TRUE
धन बहादुर बुढा,डोल्पा,1,2079,धन बहादुर बुढा,कालिकोट,1,1593,,
पदम थापा मगर,गुल्मी,2,2079,पदम थापा मगर,गुल्मी,2,76,,TRUE
पदम थापा मगर,गुल्मी,2,2079,पदम थापा मगर,चितवन,3,23,,
बल बहादुर के.सी,काठमाडौं,6,2079,बल बहादुर के.सी,सोलुखुम्बु,1,16545,,
बल बहादुर के.सी,काठमाडौं,6,2079,बल बहादुर के.सी,काठमाडौं,6,111,,TRUE
विजय कुमार यादब,धनुषा,1,2079,विजय कुमार यादव,धनुषा,4,95,,
विजय कुमार यादव,सिराहा,2,2079,विजय कुमार यादव,धनुषा,4,95,,
विजय कुमार यादव,सिराहा,2,2079,विजय कुमार यादब,धनुषा,1,22,,
विजय कुमार यादब,धनुषा,1,2079,विजय कुमार यादब,धनुषा,1,22,,TRUE
बिनोद कुमार यादव,सिराहा,2,2079,बिनोद कुमार यादव,सिराहा,2,16902,,TRUE
विनोद कुमार यादव,धनुषा,4,2079,बिनोद कुमार यादव,सिराहा,2,16902,,
विनोद कुमार यादव,धनुषा,4,2079,बिनोद कुमार यादव,बारा,2,777,,
बिनोद कुमार यादव,सिराहा,2,2079,बिनोद कुमार यादव,बारा,2,777,,
बिनोद कुमार यादव,सिराहा,2,2079,विनोद कुमार यादव,सप्तरी,2,12,,
विनोद कुमार यादव,धनुषा,4,2079,विनोद कुमार यादव,सप्तरी,2,12,,
विष्णु प्रसाद पौडेल,नवलपरासी (बर्दघाट सुस्ता पश्चिम),2,2079,विष्‍णु प्रसाद पौडेल,रुपन्देही,2,27165,Elected,
विष्‍णु प्रसाद पौडेल,रूपन्देही,2,2079,विष्‍णु प्रसाद पौडेल,रुपन्देही,2,27165,Elected,
विष्‍णु प्रसाद पौडेल,रूपन्देही,2,2079,बिष्णु प्रसाद पौडेल,सिन्धुपाल्चोक,1,88,,
विष्णु प्रसाद पौडेल,नवलपरासी (बर्दघाट सुस्ता पश्चिम),2,2079,बिष्णु प्रसाद पौडेल,सिन्धुपाल्चोक,1,88,,
मनोज कुमार साह,धनुषा,3,2079,मनोज कुमार साह,महोत्तरी,4,10059,,
मनोज कुमार साह,महोत्तरी,4,2079,मनोज कुमार साह,महोत्तरी,4,10059,,TRUE
मनोज कुमार साह,महोत्तरी,4,2079,मनोज कुमार साह,सर्लाही,2,34,,
मनोज कुमार साह,धनुषा,3,2079,मनोज कुमार साह,सर्लाही,2,34,,
महेश कुमार यादव,धनुषा,1,2079,महेश कुमार यादव,धनुषा,1,90,,TRUE
महेश कुमार यादव,महोत्तरी,2,2079,महेश कुमार यादव,धनुषा,1,90,,
महेश कुमार यादव,महोत्तरी,2,2079,महेश कुमार यादव,धनुषा,4,5,,
महेश कुमार यादव,धनुषा,1,2079,महेश कुमार यादव,धनुषा,4,5,,
महेश बस्नेत,भक्तपुर,2,2079,महेश बस्नेत,इलाम,1,25753,Elected,
महेश बस्नेत,भक्तपुर,2,2079,महेश बस्नेत,भक्तपुर,2,23282,,TRUE
मातृका प्रसाद यादव,धनुषा,1,2079,मातृका प्रसाद यादव,धनुषा,1,21483,,TRUE
मातृका प्रसाद यादव,धनुषा,1,2079,मातृका प्रसाद यादव,रुपन्देही,1,1713,,
राकेश कुमार यादव,सिराहा,3,2079,राकेश कुमार यादव,बारा,2,104,,
राकेश कुमार यादव,सिराहा,3,2079,राकेश कुमार यादव,सिराहा,3,42,,TRUE
राज कुमार यादव,पर्सा,3,2079,राज कुमार यादव,मोरङ्ग,5,17390,,
राज कुमार यादव,मोरङ,5,2079,राज कुमार यादव,मोरङ्ग,5,17390,,
राज  कुमार  यादव ,रौतहट,2,2079,राज कुमार यादव,मोरङ्ग,5,17390,,
राज कुमार यादव,मोरङ,5,2079,राज कुमार यादव,पर्सा,3,10503,,
राज कुमार यादव,पर्सा,3,2079,राज कुमार यादव,पर्सा,3,10503,,TRUE
राज  कुमार  यादव ,रौतहट,2,2079,राज कुमार यादव,पर्सा,3,10503,,
राज कुमार यादव,मोरङ,5,2079,राजकुमार यादव,धनुषा,4,14,,
राज  कुमार  यादव ,रौतहट,2,2079,राजकुमार यादव,धनुषा,4,14,,
राज कुमार यादव,पर्सा,3,2079,राजकुमार यादव,धनुषा,4,14,,
राज नारायण साह,धनुषा,1,2079,राज नारायण साह,सर्लाही,2,14819,,
राज नारायण साह,धनुषा,1,2079,राजनारायण साह,रौतहट,4,1876,,
राजेश कुमार यादव,धनुषा,4,2079,राजेश कुमार यादब,सिराहा,4,56,,
राजेश कुमार यादव,धनुषा,4,2079,राजेश कुमार यादव,धनुषा,4,2,,TRUE
राम कुमार यादव,सिराहा,2,2079,राम कुमार यादव,बाँके,1,2693,,
राम कुमार यादव,सप्तरी,2,2079,राम कुमार यादव,बाँके,1,2693,,
राम कुमार यादव,सिराहा,2,2079,राम कुमार यादव,सिराहा,1,304,,
राम कुमार यादव,सप्तरी,2,2079,राम कुमार यादव,सिराहा,1,304,,
राम कुमार राई,उदयपुर,2,2079,राम कुमार राई,खोटाङ्ग,1,31351,Elected,
राम कुमार राई,उदयपुर,2,2079,राम कुमार राई,उदयपुर,2,10379,,TRUE
राम दुलार महतो,सर्लाही,1,2079,राम दुलार महतो,सर्लाही,1,3253,,TRUE
राम दुलार महतो,सर्लाही,1,2079,राम दुलार महतो,धनुषा,4,166,,
सागर ढकाल,गुल्मी,1,2079,सागर ढकाल,डडेलधुरा,1,13042,,
सागर ढकाल,गुल्मी,1,2079,सागर ढकाल,स्याङ्जा,2,129,,
सिता तामाङ्ग,काठमाडौं,4,2079,सीता तामाङ,काठमाडौं,2,30,,
सिता तामाङ्ग,काठमाडौं,4,2079,सीता तामाङ (के.सी.),काठमाडौं,1,3,,
हरीकृष्ण श्रेष्ठ,म्याग्दी,1,2079,हरीकृष्ण श्रेष्ठ,म्याग्दी,1,20189,,TRUE
हरीकृष्ण श्रेष्ठ,म्याग्दी,1,2079,हरि कृष्ण श्रेष्ठ,रामेछाप,1,47,,
उमेश कुमार यादव,सप्तरी,2,2074,उमेश कुमार यादव,सप्तरी,2,11580,,TRUE
उमेश कुमार यादव,सप्तरी,2,2074,उमेश कुमार यादव,सप्तरी,1,136,,
ओम प्रकाश यादव,रूपन्देही,5,2074,ओम प्रकाश यादव,रुपन्देही,4,4079,,
ओम प्रकाश यादव,रूपन्देही,5,2074,ओम प्रकाश यादव,रुपन्देही,4,2306,,
ओम प्रकाश यादव,रूपन्देही,5,2074,ओम प्रकाश यादव,पर्सा,3,142,,
कृष्ण कुमार श्रेष्ठ,बारा,4,2074,कृष्ण कुमार श्रेष्ठ,तनहुँ,1,34492,Elected,
कृष्ण कुमार श्रेष्ठ,बारा,4,2074,कृष्ण कुमार श्रेष्‍ठ,काठमाडौं,10,1757,,
टेक बहादुर गुरुङ,मनाङ,1,2074,टेक बहादुर गुरुङ,मनाङ्ग,1,1919,,
टेक बहादुर गुरुङ,मनाङ,1,2074,टेक बहादुर गुरुङ,कास्की,1,105,,
तेज बहादुर थापा,स्याङजा,2,2074,तेज बहादुर थापा,झापा,4,332,,
तेज बहादुर थापा,स्याङजा,2,2074,तेज वहादुर थापा,गुल्मी,1,102,,
दामोदर भण्डारी,बैतडी,1,2074,दामोदर भण्डारी,बैतडी,1,39524,Elected,TRUE
दामोदर भण्डारी,दाङ,3,2074,दामोदर भण्डारी,बैतडी,1,39524,Elected,
दामोदर भण्डारी,बैतडी,1,2074,दामोदर भण्डारी,गुल्मी,1,40,,
दामोदर भण्डारी,दाङ,3,2074,दामोदर भण्डारी,गुल्मी,1,40,,
दिनेश कुमार यादव,सप्तरी,3,2074,दिनेश कुमार यादव,सप्तरी,3,19401,,TRUE
दिनेश कुमार यादव,रौतहट,1,2074,दिनेश कुमार यादव,सप्तरी,3,19401,,
दिनेश कुमार यादव,रौतहट,1,2074,दिनेश कुमार यादव,धनुषा,4,21,,
दिनेश कुमार यादव,सप्तरी,3,2074,दिनेश कुमार यादव,धनुषा,4,21,,
देव नारायण महतो,सुनसरी,4,2074,देवनारायण महतो,धनुषा,1,222,,
देव नारायण महतो,सुनसरी,4,2074,देव नारायण महतो,सिराहा,3,40,,
देव नारायण महतो,सुनसरी,4,2074,देव नारायण महतो,सर्लाही,1,28,,
पुर्ण बहादुर राना,तनहुँ,2,2074,पुर्ण बहादुर राना,तनहुँ,2,800,,TRUE
पुर्ण बहादुर राना,तनहुँ,2,2074,पुर्ण बहादुर राना,कास्की,2,35,,
बल बहादुर के.सी,काठमाडौं,6,2074,बल बहादुर के.सी,सोलुखुम्बु,1,17294,,
बल बहादुर के.सी,काठमाडौं,6,2074,बल बहादुर के.सी,काठमाडौं,6,36,,TRUE
विनोद कुमार यादव,धनुषा,4,2074,विनोद कुमार यादव,सप्तरी,3,66,,
बिनोद कुमार यादव,सिराहा,2,2074,विनोद कुमार यादव,सप्तरी,3,66,,
विनोद कुमार यादव,धनुषा,4,2074,विनोद कुमार यादव,धनुषा,4,26,,TRUE
बिनोद कुमार यादव,सिराहा,2,2074,विनोद कुमार यादव,धनुषा,4,26,,
विर बहादुर तामाङ,धादिङ,2,2074,विर बहादुर तामाङ्‍ग,सिन्धुपाल्चोक,2,1279,,
विर बहादुर तामाङ,धादिङ,2,2074,बिर बहादुर तामाङ्ग,रुपन्देही,2,6,,
विष्‍णु प्रसाद पौडेल,रूपन्देही,2,2074,विष्‍णु प्रसाद पौडेल,रुपन्देही,2,44009,Elected,
विष्णु प्रसाद पौडेल,नवलपरासी (बर्दघाट सुस्ता पश्चिम),2,2074,विष्‍णु प्रसाद पौडेल,रुपन्देही,2,44009,Elected,
विष्‍णु प्रसाद पौडेल,रूपन्देही,2,2074,विष्णु प्रसाद पौडेल,चितवन,2,123,,
विष्णु प्रसाद पौडेल,नवलपरासी (बर्दघाट सुस्ता पश्चिम),2,2074,विष्णु प्रसाद पौडेल,चितवन,2,123,,
महेन्द्र यादव,रूपन्देही,3,2074,महेन्द्र यादव,धनुषा,4,19991,,
महेन्द्र यादव,धनुषा,4,2074,महेन्द्र यादव,धनुषा,4,19991,,TRUE
महेन्द्र यादव,रूपन्देही,3,2074,महेन्द्र यादव,रुपन्देही,3,12536,,
महेन्द्र यादव,धनुषा,4,2074,महेन्द्र यादव,रुपन्देही,3,12536,,
राज किशोर यादव,सिराहा,4,2074,राज किशोर यादव,सिराहा,4,21144,Elected,TRUE
राज किशोर यादव,महोत्तरी,3,2074,राज किशोर यादव,सिराहा,4,21144,Elected,
राज किशोर यादव,सिराहा,4,2074,राज किशोर यादव,महोत्तरी,2,24,,
राज किशोर यादव,महोत्तरी,3,2074,राज किशोर यादव,महोत्तरी,2,24,,
राज कुमार यादव,मोरङ,5,2074,राज कुमार यादव,मोरङ्ग,5,18649,,
राज  कुमार  यादव ,रौतहट,2,2074,राज कुमार यादव,मोरङ्ग,5,18649,,
राज कुमार यादव,पर्सा,3,2074,राज कुमार यादव,मोरङ्ग,5,18649,,
राज  कुमार  यादव ,रौतहट,2,2074,राज कुमार यादव,पर्सा,3,10009,,
राज कुमार यादव,मोरङ,5,2074,राज कुमार यादव,पर्सा,3,10009,,
राज कुमार यादव,पर्सा,3,2074,राज कुमार यादव,पर्सा,3,10009,,TRUE
राज कुमार यादव,पर्सा,3,2074,राजकुमार यादव,धनुषा,4,37,,
राज  कुमार  यादव ,रौतहट,2,2074,राजकुमार यादव,धनुषा,4,37,,
राज कुमार यादव,मोरङ,5,2074,राजकुमार यादव,धनुषा,4,37,,
राज कुमार लिम्‍बु,सुनसरी,1,2074,राज कुमार लिम्‍बु,मोरङ्ग,1,623,,
राज कुमार लिम्‍बु,काठमाडौं,1,2074,राज कुमार लिम्‍बु,मोरङ्ग,1,623,,
राज कुमार लिम्‍बु,काठमाडौं,1,2074,राज कुमार लिम्बु,संखुवासभा,1,191,,
राज कुमार लिम्‍बु,सुनसरी,1,2074,राज कुमार लिम्बु,संखुवासभा,1,191,,
संजय कुमार यादव,रौतहट,1,2074,संजय कुमार यादव,सप्तरी,2,42,,
संजय कुमार यादव,रौतहट,1,2074,संजय कुमार यादव,रौतहट,1,5,,TRUE
